District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,State,District,Latitude,Longitude,sex ratio,literacy_rate,male_literacy_rate,female_literacy_rate
367,JHARKHAND,Simdega,599578,300309,299269,343483,191991,151492,44674,310933,158019,90232,8011,32383,201524,15103,306601,51,753,114,73930,1502,3472,16865,423,4649,144169,11114,155283,82317,130068,97580,47836,24842,13674,1197,397514,191341,588855,357859,143560,97817,342,43565,954,1071,873,2993,58894,9151,95,3519,535,48561,Jharkhand,Simdega,22.608760391198054,84.59193691931536,100.0,57.0,64.0,51.0
371,ORISSA,Jharsuguda,579505,296690,282815,405879,228092,177787,104620,331798,40867,56809,15836,134195,553587,12783,10462,1441,80,70,67,1015,18950,81433,2498,7555,103224,73962,177186,69122,101541,103622,70928,32909,22010,7932,408064,143508,551572,320156,159477,98555,1317,76358,538,435,652,2907,57057,34670,1282,24394,41543,42897,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,95.0,70.0,77.0,63.0
372,ORISSA,Sambalpur,1041099,526877,514222,703691,393192,310499,191827,535259,86800,160798,59288,198954,964188,20120,50637,2506,310,86,1117,2135,33612,126498,5231,14521,220697,94798,315495,133005,185289,171876,108455,50705,45828,13071,708229,282248,990477,565700,286575,186726,2098,134592,1427,3968,1633,9218,116059,57438,2190,60077,62261,75332,Orissa,Sambalpur,21.515752380952385,84.34958483245157,98.0,68.0,75.0,60.0
374,ORISSA,Sundargarh,2093437,1061147,1032290,1342322,750147,592175,191660,1220210,184273,253327,26970,408657,1532352,71391,385011,5713,710,721,89986,7553,77581,223537,12787,35024,387911,230151,618062,208100,350349,335380,243386,120373,94710,36590,1388888,660465,2049353,1188918,573238,324436,6845,264763,10997,5288,1748,20366,192348,118116,2333,93762,103204,162829,Orissa,Sundargarh,22.06354819277107,84.50524819277099,97.0,64.0,71.0,57.0
376,ORISSA,Mayurbhanj,2519738,1256213,1263525,1369397,794171,575226,184682,1296204,238772,568755,113808,302199,2113079,33706,15008,661,162,109,351714,5299,29031,140189,2950,17999,689110,64479,753589,283489,390037,385216,214921,92060,72847,17415,1455985,1094844,2550829,1449729,650135,414076,5798,292400,17356,14014,3525,37882,236825,96329,2987,37517,98896,254494,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,101.0,54.0,63.0,46.0
377,ORISSA,Baleshwar,2320529,1185787,1134742,1621232,902359,718873,478586,1387822,288818,358214,28736,256939,2197709,94254,6434,237,111,201,18345,3238,36478,296834,7370,28289,601154,82440,683594,342192,470502,416510,267354,112392,105962,27493,1742405,628627,2371032,1303828,622575,390611,3515,420751,1444,3098,8771,20566,162647,208631,7253,71889,78155,158129,Orissa,Baleshwar,21.48570932311624,87.08085828011933,96.0,70.0,76.0,63.0
378,ORISSA,Bhadrak,1506337,760260,746077,1094140,596269,497871,334896,1037738,155956,151377,14451,146815,1398543,104202,745,169,81,111,61,2425,15864,164636,2637,15609,373862,54244,428106,210736,391081,297270,177013,71815,67536,17449,1232900,323145,1556045,848660,393629,260486,3562,284168,15,846,4116,7148,107092,108838,2171,13097,48040,93597,Orissa,Bhadrak,20.95262735257214,86.81496204516931,98.0,73.0,78.0,67.0
379,ORISSA,Kendrapara,1440361,717814,722547,1089265,579970,509295,309780,973471,149264,143864,16544,157218,1386792,50247,1423,169,62,52,24,1592,15879,173107,1628,11836,414749,23494,438243,218444,357621,298557,203472,76449,75926,12507,1242976,294723,1537699,771284,374559,290894,3624,272980,23,2531,1753,5098,139858,57321,791,26190,78721,130226,Orissa,Kendrapara,20.606319815982264,86.83763247572003,101.0,76.0,81.0,70.0
381,ORISSA,Cuttack,2624470,1352760,1271710,2011469,1103033,908436,498633,1688105,138698,248298,51809,497560,2457729,141263,11985,1026,6276,1180,168,4843,103177,349587,15046,40589,579529,210768,790297,289414,545514,513039,328319,159456,181601,45279,2062622,472182,2534804,1372301,743090,499895,9184,303301,1196,4366,5672,12531,189955,236109,1297,123194,129190,140767,Orissa,Cuttack,20.407640646029623,85.7776810228802,94.0,77.0,82.0,71.0
383,ORISSA,Dhenkanal,1192811,612593,580218,829910,464093,365817,234079,757278,71230,163636,17312,183355,1185542,4805,727,124,366,39,139,1069,19846,117172,1810,10600,315390,36979,352369,188872,238599,193395,132002,53162,43064,10903,859997,341887,1201884,641697,326233,222398,2483,97504,6084,9934,1722,19216,96086,54498,1476,17395,62796,127786,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,95.0,70.0,76.0,63.0
385,ORISSA,Nayagarh,962789,502636,460153,688362,392333,296029,136399,619156,83022,120129,17557,122925,955754,5278,383,107,33,24,12,1198,11159,124984,1163,8278,261646,26688,288334,174904,227102,177180,90089,36951,33148,5685,745059,232558,977617,502136,262086,196994,1573,109314,720,3326,926,5901,131308,27799,929,32053,66154,71861,Orissa,Nayagarh,20.192895622119817,85.05614700460825,92.0,71.0,78.0,64.0
386,ORISSA,Khordha,2251673,1167137,1084536,1749936,957515,792421,297472,1459480,92662,116274,39471,543786,2147632,84060,12527,1264,475,476,434,4805,160277,349860,35701,75588,331834,356895,688729,276378,445785,436534,295099,177974,247498,66645,1945913,371244,2317157,1199521,653346,391701,7105,167624,445,1916,4427,9962,149118,230972,3174,147354,102035,109546,Orissa,Khordha,20.054162322274863,85.52234834123229,93.0,78.0,82.0,73.0
387,ORISSA,Puri,1698730,865380,833350,1291939,704857,587082,325133,1077054,172761,163942,25115,259858,1644905,46094,4239,193,243,94,302,2660,33331,201605,3416,16006,402014,72210,474224,251520,413605,364098,179086,84374,87000,15511,1395194,309790,1704984,888134,477430,328666,4500,277955,68,9700,4911,27889,119440,123180,13210,34363,74251,126862,Orissa,Puri,19.83509174603177,85.86698989898981,96.0,76.0,81.0,70.0
388,ORISSA,Ganjam,3529031,1779218,1749813,2210050,1262652,947398,688235,2027259,284943,565448,56274,595107,3486059,13315,23975,590,174,170,76,4672,120191,405298,9049,41059,795476,219918,1015394,518072,767140,508511,297490,121151,97147,31266,2340777,1055331,3396108,1980232,924756,613249,10794,318506,3510,17577,3421,35922,360704,140804,11414,196326,172552,255386,Orissa,Ganjam,19.2632617564534,84.80297710437702,98.0,63.0,71.0,54.0
389,ORISSA,Gajapati,577817,282882,294935,262537,153663,108874,39175,283884,65062,153199,5370,70302,353160,1556,219482,53,2180,66,4,1316,12035,63112,635,5523,152095,23050,175145,68405,76419,54787,36977,17084,12556,1882,268110,335821,603931,345387,144043,85072,3315,43514,10657,3098,263,14573,68293,12927,555,27133,21718,47598,Orissa,Gajapati,19.121080882352945,84.14015091911759,104.0,45.0,54.0,37.0
390,ORISSA,Kandhamal,733110,359945,373165,399786,233900,165886,115544,377761,79221,162932,11946,101250,580300,2138,148895,82,290,47,23,1335,6938,28736,768,6609,218446,24489,242935,108606,145604,108773,48856,21351,14962,2462,450614,287948,738562,436625,177471,117777,1237,53314,19568,4276,3324,32206,72567,16935,5038,8309,15761,82502,Orissa,Kandhamal,20.092878624813142,84.02216352765326,104.0,55.0,65.0,44.0
394,ORISSA,Nuapada,610382,301962,308420,299383,180903,118480,82159,304944,94692,149834,8641,52271,601092,4952,1778,724,76,905,22,833,6414,43976,757,4221,197258,11869,209127,64389,114394,73787,51886,19577,10131,4316,338480,316086,654566,344075,152681,112325,1301,123116,1195,5110,250,7325,86403,11802,770,16217,19366,61742,Orissa,Nuapada,20.471309512195116,82.59152536585364,102.0,49.0,60.0,38.0
395,ORISSA,Kalahandi,1576869,787101,789768,802036,484177,317859,286580,824939,144991,436733,18453,151753,1555367,4975,11160,796,175,1225,220,2951,17610,91171,1953,12622,456336,38412,494748,213426,225468,172905,94044,40383,27385,6840,780451,765368,1545819,880160,415778,275533,5398,332445,6036,10592,762,18970,208591,34340,1580,19264,71395,161883,Orissa,Kalahandi,19.784253092783523,83.1124043814433,100.0,51.0,62.0,40.0
396,ORISSA,Rayagada,967911,471960,495951,407735,241959,165776,139514,500789,99265,248175,9959,109723,874445,4607,84916,219,249,123,44,3308,24924,61543,1553,9166,237343,49205,286548,84956,97387,73210,46001,21439,17681,6306,346980,583140,930120,577569,245766,140825,3751,147814,13711,4451,1016,19823,125025,26498,645,41952,53070,74441,Orissa,Rayagada,19.292840020060204,83.45860120361095,105.0,42.0,51.0,33.0
398,ORISSA,Koraput,1379647,678809,700838,568090,340843,227247,196540,686241,207194,290626,14416,181170,1294151,8850,68550,518,219,491,3384,3484,39631,85766,3988,17294,381789,78339,460128,158847,158653,98266,60589,32257,29000,10200,547812,770707,1318519,818578,348803,207206,5060,203233,30968,7286,752,40789,172539,46292,1783,53017,74178,119374,Orissa,Koraput,18.82627794779476,82.81278469846964,103.0,41.0,50.0,32.0
399,ORISSA,Malkangiri,613192,303624,309568,244706,147001,97705,138295,302526,151260,106353,7725,45328,600219,1871,10039,213,43,195,35,577,4738,24604,448,3908,167884,15839,183723,60913,64683,44962,19031,8487,5585,1202,204863,390356,595219,381913,146355,83284,1640,109087,9717,1826,488,12944,78733,7862,913,8613,15899,50855,Orissa,Malkangiri,18.25227930367506,81.98293636363628,102.0,40.0,48.0,32.0
400,CHHATTISGARH,Koriya,658917,334737,324180,397823,229923,167900,54776,351846,118498,94648,4830,89095,604259,25878,9398,1391,84,1155,15474,1278,25605,80023,1667,7609,121852,59763,181615,143413,109639,87969,47127,38677,26802,4134,457761,179639,637400,399581,165022,94073,241,64425,3648,4006,2097,11008,67765,38999,1257,36605,2198,45311,Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,97.0,60.0,69.0,52.0
401,CHHATTISGARH,Surguja,2359886,1193129,1166757,1187941,694686,493255,115652,1204079,465287,523356,12643,154521,2126195,81442,97432,2303,1287,623,48295,2309,29433,253131,2737,18983,525596,65167,590763,364452,338509,281260,135374,105992,64607,9524,1299718,991866,2291584,1441436,561915,355077,1458,297286,6470,14757,11539,34730,253795,75066,1964,36922,21245,191705,Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,98.0,50.0,58.0,42.0
402,CHHATTISGARH,Jashpur,851669,424747,426922,495415,280656,214759,48844,364309,226866,197558,7553,55383,629509,15336,189588,474,467,694,14835,766,6628,76783,567,5755,205670,20722,226392,120768,137681,127299,64188,50562,26161,3166,529825,328438,858263,488965,214455,148100,149,128661,4452,1722,1482,7955,106704,17829,299,7961,1360,65994,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,101.0,58.0,66.0,50.0
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,542756,408883,224942,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,924,27771,297308,3342,13857,354278,66638,420916,246480,260661,210964,130700,93340,66358,8804,1017307,460166,1477473,841958,398257,253488,281,253248,946,2129,1172,6031,220996,57621,1784,71114,59354,83047,Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,99.0,64.0,72.0,55.0
403,CHHATTISGARH,Raigarh,1493984,750278,743706,951639,542756,408883,224942,803817,208313,323788,9959,148107,1422986,17332,47653,2117,781,409,1782,924,27771,297308,3342,13857,354278,66638,420916,246480,260661,210964,130700,93340,66358,8804,1017307,460166,1477473,841958,398257,253488,281,253248,946,2129,1172,6031,220996,57621,1784,71114,59354,83047,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,99.0,64.0,72.0,55.0
404,CHHATTISGARH,Korba,1206640,612915,593725,748759,433391,315368,124679,685454,113071,221806,7899,178410,1133176,30195,21059,3666,897,753,15649,1245,43357,202380,4544,18004,206598,126055,332653,178191,188303,168387,89167,83166,61215,11792,780221,410186,1190407,729708,309479,166959,494,144571,1835,4649,1981,9406,134931,71646,941,59627,12483,70494,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,97.0,62.0,71.0,53.0
