District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Away_Households,State,District,Latitude,Longitude,sex ratio,literacy_rate,male_literacy_rate,female_literacy_rate
154,UTTAR PRADESH,Sitapur,4483992,2375264,2108728,2283733,1397702,886031,1446427,3061390,571097,473554,70971,306980,3555450,893725,6579,11611,2663,1410,79,12475,74072,102040,3874,34609,827583,111319,938902,714304,656401,482220,221898,136383,127750,8775,2347731,2141696,4489427,2862383,1000987,588318,32304,520109,215,535,2617,3967,321069,350723,600,230288,5546,122069,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,89.0,51.0,59.0,42.0
155,UTTAR PRADESH,Hardoi,4092845,2191442,1901403,2221601,1374587,847014,1274505,2773899,596813,406830,59649,255654,3508131,556219,5822,5688,6671,446,98,9770,60689,95508,3845,32065,786613,121064,907677,741817,906861,510507,247265,138583,103523,9048,2657604,1481604,4139208,2598364,905306,559988,29187,536236,52,231,2716,3208,258126,361033,209,137163,2003,89562,Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,87.0,54.0,63.0,45.0
156,UTTAR PRADESH,Unnao,3108367,1630087,1478280,1773584,1053063,720521,948588,1983623,450123,332663,49243,292715,2732016,363453,3574,1204,920,240,31,6929,70484,99466,3476,28719,596317,121039,717356,501457,512965,415378,240024,136688,101934,7173,1915619,1130103,3045722,1893706,706851,453462,54348,459680,99,263,904,1654,275402,210791,388,68748,4404,81298,Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,91.0,57.0,65.0,49.0
157,UTTAR PRADESH,Lucknow,4589838,2394476,2195362,3127260,1742440,1384820,948294,3047032,175578,203029,99863,1064336,3537787,985070,20493,23883,3877,4975,504,13249,469747,582769,68506,152257,344155,717566,1061721,489898,554301,552171,428121,378742,639260,52132,3094625,1146880,4241505,2678289,1161686,685258,64605,380839,456,491,4561,7110,243172,503471,1602,427563,60932,75948,Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,92.0,68.0,73.0,63.0
158,UTTAR PRADESH,Rae Bareli,3405559,1752542,1653017,1965843,1165965,799878,1030367,2200849,316891,507882,60774,319163,2975998,413243,3634,2424,722,397,602,8539,65080,247856,5184,34788,705025,73393,778418,540661,538301,477689,270775,182823,153041,15662,2178952,1286726,3465678,2116007,776583,506583,6386,430363,216,497,819,2251,341166,172901,719,125452,10160,100286,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,94.0,58.0,67.0,48.0
159,UTTAR PRADESH,Farrukhabad,1885204,1006240,878964,1092677,654827,437850,312712,1292937,245089,135679,43528,167971,1596278,276846,3137,3160,3161,487,100,2035,59209,88081,2624,18733,316647,94843,411490,270550,330084,257279,184298,115069,110391,9368,1277039,710960,1987999,1224584,411153,246795,2672,255543,57,123,860,1250,158537,108322,210,49109,8522,41197,Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,87.0,58.0,65.0,50.0
160,UTTAR PRADESH,Kannauj,1656616,881776,774840,1017087,603596,413491,309980,1131940,239350,129517,51330,104479,1375788,273967,1263,504,2033,606,65,2390,32510,61491,2488,18082,299785,65985,365770,237853,283674,263749,175582,107628,95072,7194,1170752,543034,1713786,1069916,361028,223535,2137,226228,67,190,942,1496,146596,72121,297,47225,2930,60021,Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,88.0,61.0,68.0,53.0
161,UTTAR PRADESH,Etawah,1581810,845856,735954,1062003,623583,438420,388283,1075738,170827,158026,20803,156416,1457892,113961,1362,1045,1733,3917,94,1806,47520,113098,2964,21506,265643,85483,351126,171216,292852,298700,195192,121283,118571,13400,1211214,397708,1608922,979633,362026,237786,2365,199665,122,240,843,1439,138521,92232,234,58927,7502,44580,Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,87.0,67.0,74.0,60.0
162,UTTAR PRADESH,Auraiya,1379545,740040,639505,930836,546198,384638,391622,937522,166731,151727,12533,111032,1273546,101963,1004,371,332,228,444,1657,32687,65479,2404,14279,255836,58438,314274,133123,291837,282449,168866,101542,79012,6531,1063360,276224,1339584,856336,320763,202054,392,185001,34,81,490,722,122958,85631,117,46112,1947,39781,Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,86.0,67.0,74.0,60.0
163,UTTAR PRADESH,Kanpur Dehat,1796184,963255,832929,1170243,692964,477279,460544,1167320,224986,234069,20783,149026,1612968,176327,1300,478,819,155,103,4034,23831,49753,2682,25354,363933,41323,405256,235341,344866,341845,223529,157167,97740,5930,1406418,475166,1881584,1100820,415918,276272,3174,251016,120,218,513,1138,167007,85797,287,53449,1260,76669,Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,86.0,65.0,72.0,57.0
165,UTTAR PRADESH,Jalaun,1689974,906092,783882,1075196,653430,421766,468178,1069210,196613,243035,26109,155007,1509708,171581,1148,463,2875,256,145,3798,42616,104176,2217,18615,304856,91565,396421,169207,327534,282919,167911,104699,106888,10399,1169557,461666,1631223,1002817,410090,274954,2113,221913,80,84,789,1062,136422,107861,109,52267,1875,42936,Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,87.0,64.0,72.0,54.0
166,UTTAR PRADESH,Jhansi,1998603,1057436,941167,1304513,783705,520808,562505,1183689,228881,248072,48648,289313,1823930,147842,7050,4951,1203,7328,311,5988,94342,183340,8517,40774,309592,195321,504913,184997,370685,341371,186348,99814,92586,11783,1287584,483088,1770672,1171301,510728,308331,8243,223433,293,416,2140,3606,152745,135508,757,93390,8362,69967,Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,89.0,65.0,74.0,55.0
167,UTTAR PRADESH,Lalitpur,1221592,641011,580581,641191,397586,243605,240519,718241,267580,131354,14882,89535,1163804,33724,1351,1034,69,20390,41,1179,20720,77082,1079,9906,258013,43819,301832,185575,202692,154118,61543,32237,34658,3535,674358,509536,1183894,793551,265080,159666,3295,163443,72,237,111,517,115487,36945,97,20604,2110,65446,Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,91.0,52.0,62.0,42.0
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,241198,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,660774,260368,181109,2034,158137,99,255,543,987,120508,47183,90,40314,588,41867,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,86.0,59.0,69.0,48.0
168,UTTAR PRADESH,Hamirpur,1104285,593537,510748,653299,408125,245174,241198,660630,130314,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,211029,103334,59914,59612,4094,835920,364848,1200768,660774,260368,181109,2034,158137,99,255,543,987,120508,47183,90,40314,588,41867,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,86.0,59.0,69.0,48.0
169,UTTAR PRADESH,Mahoba,875958,466358,409600,488106,302283,185823,220898,526282,114244,130422,13523,91487,815142,57454,965,389,94,234,157,1523,12874,42936,1316,11298,198298,48525,246823,119002,141201,131165,60400,33810,37165,3926,526669,403649,930318,527067,201394,137393,10104,117760,123,191,351,844,97343,19921,179,18115,1170,46210,Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,88.0,56.0,65.0,45.0
170,UTTAR PRADESH,Banda,1799410,965876,833534,1002937,630626,372311,387855,1097721,251755,273458,19098,157378,1637549,157612,1367,231,168,916,50,1517,26907,73522,1655,18612,378056,67569,445625,325773,415195,249238,114783,61702,63112,5728,1235531,588025,1823556,1120432,408527,265310,5141,247074,33,466,477,1133,187378,67368,157,51777,1547,67991,Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,86.0,56.0,65.0,45.0
171,UTTAR PRADESH,Chitrakoot,991730,527721,464009,531072,330339,200733,266655,597533,160094,150695,12555,70853,955372,34559,693,63,101,285,27,630,11637,41046,827,9437,207237,23558,230795,168472,174106,124256,69641,40266,35826,3660,616227,383908,1000135,638046,214228,136669,2787,122159,107,557,671,1500,97672,26224,165,23226,1380,43562,Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,88.0,54.0,63.0,43.0
172,UTTAR PRADESH,Fatehpur,2632733,1384722,1248011,1512166,911003,601163,651480,1568804,328758,425366,51555,258250,2274674,350700,2201,402,172,199,47,4338,43492,75263,3385,33501,558807,77733,636540,409875,463642,376472,227119,134445,116445,10212,1738210,895178,2633388,1624830,603831,395547,8525,358433,178,329,834,1766,267526,88566,425,65256,3370,116929,Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,90.0,57.0,66.0,48.0
173,UTTAR PRADESH,Pratapgarh,3209141,1606085,1603056,1931559,1121381,810178,709252,2142540,305746,386563,68642,305650,2731351,452394,3920,1451,7795,746,43,11441,46358,140538,5149,34400,711085,41701,752786,427626,558350,456752,332742,238011,197846,20047,2231374,1059636,3291010,2002569,703727,492097,10748,341391,394,459,2223,3747,291932,155290,671,113727,4594,87032,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,100.0,60.0,70.0,51.0
174,UTTAR PRADESH,Kaushambi,1599596,838485,761111,813424,507279,306145,555397,960510,141102,321410,30491,146083,1372381,220423,2225,522,687,545,3,2810,22034,43753,1503,15029,349856,30764,380620,184229,253910,180825,146757,89011,45341,5115,905188,670750,1575938,1034099,336401,210556,18540,232180,86,228,205,699,171705,33644,180,26654,2011,71044,Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,91.0,51.0,60.0,40.0
175,UTTAR PRADESH,Allahabad,5954391,3131807,2822584,3665727,2199340,1466387,1309851,3842484,474283,541146,185877,910601,5102041,796756,13782,4377,4391,2247,305,30492,204357,391542,24122,85491,983266,265304,1248570,823863,934881,738076,596615,502826,428871,36764,4061896,1756098,5817994,3764404,1335224,818137,36626,498927,924,1770,4592,8602,384892,322833,1316,252326,15852,190828,Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,90.0,62.0,70.0,52.0
176,UTTAR PRADESH,Bara Banki,3260699,1707073,1553626,1692458,1010518,681940,864559,2067849,458479,421973,77235,235163,2505444,737106,4857,2090,1553,3016,211,6422,60554,108116,3159,26293,635840,79068,714908,533140,420824,350564,197780,132332,113799,12281,1760720,1540841,3301561,2043335,709494,445269,62601,434135,149,332,2259,3101,239391,264344,361,110385,1497,63982,Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,91.0,52.0,59.0,44.0
177,UTTAR PRADESH,Faizabad,2470996,1259628,1211368,1450901,838339,612562,555047,1639787,260406,272734,43505,254564,2094271,365806,3225,1912,737,358,185,4502,58328,127754,4746,28625,510378,79288,589666,356093,361114,347114,231129,176303,179996,18947,1670696,981915,2652611,1534832,543148,367332,25684,317094,131,322,1667,2422,153953,229802,302,90607,2351,34074,Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,96.0,59.0,67.0,51.0
178,UTTAR PRADESH,Ambedkar Nagar,2397888,1212410,1185478,1486939,846676,640263,591125,1610490,213814,301120,58520,213944,1985654,401678,2536,869,1817,235,33,5066,21512,99581,2509,27308,501559,65031,566590,342667,392873,353570,247028,172872,194387,15458,1718855,813502,2532357,1499494,515229,367234,15931,260490,107,282,3779,4621,155590,174989,453,97529,853,33878,Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,98.0,62.0,70.0,54.0
179,UTTAR PRADESH,Sultanpur,3797117,1914586,1882531,2239902,1300248,939654,851587,2554485,338890,501634,85785,316323,3119590,650261,4453,1629,9989,426,336,10433,55055,233701,5956,44008,839737,49891,889628,460210,637015,526973,306046,188848,176414,15277,2310783,1118891,3429674,2376875,828222,580164,11856,415868,317,476,2001,3368,300237,227335,574,154994,4090,100353,Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,98.0,59.0,68.0,50.0
180,UTTAR PRADESH,Bahraich,3487731,1843884,1643847,1398368,878285,520083,509307,2335571,430227,482897,37965,201071,2291892,1169330,6400,8212,2793,1177,38,7889,38940,85814,2681,35463,698520,61742,760262,447648,493760,215939,104762,65106,47690,7028,1381933,1920966,3302899,2275746,754346,446242,11397,391416,176,277,2008,2640,220216,326580,179,187350,2502,48382,Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,89.0,40.0,48.0,32.0
182,UTTAR PRADESH,Balrampur,2148665,1114721,1033944,868357,544943,323414,277212,1388412,276614,328768,29916,124955,1333242,805975,3228,900,1866,198,87,3169,16229,57400,1551,15510,410070,35768,445838,379253,227932,122911,65516,40633,37109,2777,876131,1332817,2208948,1415213,442339,283947,7166,219396,73,233,1174,1679,104918,191185,199,85828,516,24888,Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,93.0,40.0,49.0,31.0
183,UTTAR PRADESH,Gonda,3433919,1787146,1646773,1679994,1034181,645813,531973,2263367,440340,431532,65299,233381,2739076,678615,4735,1893,649,338,57,8556,45517,104084,4313,31811,673578,52794,726372,678171,425584,305644,192664,144067,118176,8722,1873028,1620782,3493810,2223078,734903,464584,11354,338812,203,614,2406,3782,217341,288071,559,188037,1831,30149,Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,92.0,49.0,58.0,39.0
185,UTTAR PRADESH,Basti,2464464,1255272,1209192,1393783,819719,574064,513959,1680776,296928,282260,36856,167644,2082976,364510,3493,900,9753,107,99,2626,37593,108101,3423,30244,513960,31065,545025,470355,349221,324085,211477,162961,143642,13030,1674771,1021192,2695963,1574037,519265,363891,7271,248616,123,354,2621,3449,161329,193400,351,125645,1065,25061,Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,96.0,57.0,65.0,47.0
186,UTTAR PRADESH,Sant Kabir Nagar,1715183,869656,845527,954949,567098,387851,369039,1175714,149604,241825,28884,119156,1300586,404410,1766,447,4393,95,35,3451,17671,79525,2031,19729,324972,27179,352151,341757,290532,205875,129442,86528,63506,8882,1126522,683053,1809575,1108368,352395,250502,3918,162394,120,283,1649,2341,109340,130175,289,91688,1904,18525,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,97.0,56.0,65.0,46.0
188,UTTAR PRADESH,Gorakhpur,4440895,2277777,2163118,2700328,1593890,1106438,936061,3089266,255660,454931,82965,558073,4009037,403847,9662,2123,2848,460,207,12711,149727,296619,14597,65360,761958,189170,951128,873031,618398,560246,425913,316166,273903,36253,3103910,1453960,4557870,2755630,992114,659677,33474,446270,308,807,4952,6993,262327,390464,926,238404,16143,42575,Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,95.0,61.0,70.0,51.0
189,UTTAR PRADESH,Kushinagar,3564544,1818055,1746489,1954820,1183722,771098,544231,2447571,265686,528388,57049,265850,2928462,620244,5006,767,4619,383,133,4930,29304,127331,3486,35931,742324,42775,785099,836856,424892,367405,249265,170911,119625,11970,2180924,1550315,3731239,2236842,772777,500373,54552,378703,195,567,3962,5106,214524,303575,382,171798,2702,40527,Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,96.0,55.0,65.0,44.0
190,UTTAR PRADESH,Deoria,3100946,1537436,1563510,1875239,1079288,795951,468663,2224700,238237,291016,50418,296575,2730957,358539,3626,818,1182,209,146,5469,60348,150001,4469,36068,597778,67928,665706,602403,473097,449571,372031,277548,194341,23334,2392325,1130108,3522433,1946336,664708,481219,8683,357083,110,293,3210,3984,165652,274621,371,109265,1942,32291,Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,102.0,60.0,70.0,51.0
191,UTTAR PRADESH,Azamgarh,4613913,2285004,2328909,2771917,1559414,1212503,1171378,3241881,425630,452055,115991,378356,3878626,718692,3810,719,5652,183,226,6005,49699,183381,6652,47324,891024,80434,971458,831966,1344726,879745,489060,312571,158303,8087,4024458,1218146,5242604,2930243,965876,699954,17840,545388,170,726,5844,7683,294403,316002,943,102270,5457,49525,Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,102.0,60.0,68.0,52.0
192,UTTAR PRADESH,Mau,2205968,1114709,1091259,1363044,773082,589962,474537,1509221,145225,212343,118614,220565,1769937,428555,2109,340,564,155,129,4179,40087,149908,2656,26716,352207,99321,451528,344570,410737,320743,256784,209493,150462,15771,1708560,659237,2367797,1402738,467343,323260,12627,273408,64,233,3188,3727,109751,187140,242,42095,3106,23942,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,98.0,62.0,69.0,54.0
193,UTTAR PRADESH,Ballia,3239774,1672902,1566872,1963590,1160960,802630,494698,2220291,206228,384432,72194,356629,3004240,213440,4463,892,1595,233,64,14847,62157,119972,4672,42969,564927,64454,629381,436021,515010,443440,409484,323582,200434,20283,2348254,1032533,3380787,1975934,724362,502628,36850,395909,163,455,5316,6665,130319,305850,731,75078,1502,46271,Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,94.0,61.0,69.0,51.0
194,UTTAR PRADESH,Jaunpur,4494204,2220465,2273739,2731677,1565394,1166283,990345,3056829,540762,436792,88404,371417,3981502,483750,4947,1286,7898,349,114,14358,56508,181467,8002,52398,926088,80582,1006670,665376,939616,769693,520111,353996,256398,25909,3531099,1344789,4875888,2826453,927026,689979,50746,466045,476,830,5765,7858,325066,238355,787,135340,10919,103567,Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,102.0,61.0,70.0,51.0
195,UTTAR PRADESH,Ghazipur,3620268,1855075,1765193,2197549,1293553,903996,726641,2415666,368943,435934,68254,331471,3233790,368153,4181,810,3145,213,184,9792,36798,105767,5309,50180,700173,61467,761640,566504,691057,563310,449909,334003,186306,12795,2803884,1008996,3812880,2234593,774130,556273,55272,434210,144,259,6163,6803,213032,213999,237,58602,3697,97930,Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,95.0,61.0,70.0,51.0
196,UTTAR PRADESH,Chandauli,1952756,1017905,934851,1174606,699454,475152,446786,1300213,125980,248674,58552,219337,1727869,215081,2153,1389,340,100,1175,4649,32433,99602,3492,20762,344937,50822,395759,295979,367768,276638,196240,135962,88299,7586,1368472,543247,1911719,1222695,437000,287767,5294,208048,131,374,1491,2357,128710,103011,361,38260,1895,62997,Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,92.0,60.0,69.0,51.0
197,UTTAR PRADESH,Varanasi,3676841,1921857,1754984,2403903,1389116,1014787,486958,2456133,197952,182146,168764,671846,3107681,546987,7696,3309,1146,1898,298,7826,202055,336056,19214,57583,438935,316129,755064,467782,608174,557052,447926,351391,281652,34841,2748818,906367,3655185,2260457,856070,531549,28765,305591,248,245,2712,3706,167334,278202,501,187518,33999,96168,Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,91.0,65.0,72.0,58.0
199,UTTAR PRADESH,Mirzapur,2496970,1312302,1184668,1428683,865837,562846,661129,1614974,178132,334372,80246,289246,2292534,195765,2373,1133,341,701,27,4096,43500,145997,4447,24518,465152,77963,543115,361642,421577,340261,232189,177109,140668,17680,1691126,868542,2559668,1590528,552177,346773,7492,274880,1218,968,853,3724,190622,98038,685,44170,7808,102159,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,90.0,57.0,66.0,48.0
200,UTTAR PRADESH,Sonbhadra,1862559,971344,891215,985708,601988,383720,421661,1132160,141007,371261,29417,188714,1738769,103567,3963,1649,1747,487,1907,10470,40467,95582,5149,25220,337048,91040,428088,306218,297226,212565,120822,82614,63846,9357,1092648,745126,1837774,1203938,418914,237866,1841,210788,1027,3847,1046,7031,158004,71772,1111,47641,6067,97142,Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,92.0,53.0,62.0,43.0
201,UTTAR PRADESH,Etah,1774480,947339,827141,1055202,647042,408160,281011,1228496,242396,131779,28396,143413,1611126,146346,2464,708,2887,5671,18,5260,37027,69591,2635,19712,334246,67752,401998,238019,214091,201984,178434,119665,88607,8092,1048892,718310,1767202,1149372,383707,237427,3974,220868,21,80,1093,1270,130131,120195,76,66179,9330,40148,Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,87.0,59.0,68.0,49.0
203,BIHAR,Pashchim Champaran,3935042,2061110,1873932,1759481,1091226,668255,553944,2456095,217539,998833,38691,223884,3047427,865090,8469,926,1337,296,1895,9602,38414,57546,3495,41143,839514,96620,936134,1053481,543965,250243,159563,98732,70669,6035,2182688,1710878,3893566,2544205,888205,497793,4839,673647,67,521,5592,6825,282250,368844,645,19577,2006,56971,Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,91.0,45.0,53.0,36.0
204,BIHAR,Purba Champaran,5099371,2681209,2418162,2276957,1407603,869354,649726,3361832,349032,1057417,46164,284926,4086453,990349,4865,668,878,464,104,15590,52358,74979,7719,70258,1142260,101565,1243825,1280809,982506,450631,241118,121594,68781,5149,3150588,2142757,5293345,3316422,1122340,648009,12600,945481,96,471,6001,7643,430949,470416,1075,20310,2653,82938,Bihar,Purba Champaran,26.68129336734693,85.00382155612242,90.0,45.0,52.0,36.0
205,BIHAR,Sheohar,656246,346673,309573,283698,171645,112053,96655,439874,38727,136334,9119,32192,552492,99342,522,216,73,52,44,3505,3983,10004,478,6698,158484,7516,166000,128209,91277,37063,25657,16031,10091,661,308989,348078,657067,421241,139909,93398,1698,145016,10,55,718,923,75837,57924,140,2091,371,15128,Bihar,Sheohar,26.458380748663107,85.29539411764709,89.0,43.0,50.0,36.0
206,BIHAR,Sitamarhi,3423574,1803252,1620322,1436794,885188,551606,405714,2308991,216012,635907,37932,224732,2672311,740101,2897,261,253,188,20,7543,39465,66263,3460,42461,807294,49670,856964,733380,394422,196321,136500,92783,70549,11936,1635891,1852765,3488656,2206340,739982,449035,28217,710373,64,302,6150,7058,358607,251811,542,10992,3523,122665,Bihar,Sitamarhi,26.56570069686413,85.61172491289203,90.0,42.0,49.0,34.0
207,BIHAR,Madhubani,4487379,2329313,2158066,2155338,1340085,815253,587158,2850441,396880,940642,54934,244482,3652168,818912,3262,564,328,442,169,11534,47090,113281,5319,65548,1047552,41234,1088786,783888,771417,520875,303114,170563,137780,11352,2698989,2003079,4702068,2860455,1009424,611899,5601,859607,349,546,11240,13393,412398,346397,1258,19775,30900,142744,Bihar,Madhubani,26.41380538172716,86.16328360450552,93.0,48.0,58.0,38.0
208,BIHAR,Supaul,2229076,1155283,1073793,1033283,647672,385611,354249,1351394,201882,554271,22555,98974,1809936,409251,3758,271,136,546,42,5136,12111,51028,1845,25078,572287,27815,600102,467768,269737,157787,99530,69665,45726,5850,1116063,1220268,2336331,1453438,495020,277610,3008,425676,43,265,6634,7366,145728,273702,424,5373,12245,21374,Bihar,Supaul,26.28157893772896,86.78496465201461,93.0,46.0,56.0,36.0
209,BIHAR,Araria,2811569,1463333,1348236,1195768,727643,468125,382654,1741676,222913,691947,24367,130666,1593525,1207442,4116,371,187,1910,63,3955,17004,43290,2561,29796,659061,44213,703274,625357,426625,206161,112955,68177,39627,6938,1485840,1653766,3139606,1872943,612012,324091,2523,543136,34,611,7171,8327,213049,317350,511,8056,54827,31056,Bihar,Araria,26.211528119180603,87.30766554934816,92.0,43.0,50.0,35.0
210,BIHAR,Kishanganj,1690400,866970,823430,745056,439921,305135,113118,1161336,107862,321867,11633,87702,531236,1149095,5783,398,183,1476,28,2201,11715,58718,1093,14073,401793,43357,445150,356401,235779,89025,42778,25989,15386,3761,769119,945397,1714516,1139615,361114,188447,1224,315573,17,527,7046,7913,159662,142448,323,4264,29710,33601,Bihar,Kishanganj,26.324336758321294,87.95045007235886,95.0,44.0,51.0,37.0
211,BIHAR,Purnia,3264619,1699370,1565249,1332326,805261,527065,390991,2121301,197424,745015,28840,172039,1989420,1255641,7989,614,353,1450,650,8502,33688,86058,4170,33664,712847,85749,798596,668690,360243,184327,119259,83226,59996,11116,1486857,1798786,3285643,2155512,696556,372692,39859,606448,37,1390,16517,18780,273244,314626,836,12331,59597,52843,Bihar,Purnia,25.81714801901739,87.40447606973065,92.0,41.0,47.0,34.0
212,BIHAR,Katihar,3071029,1600430,1470599,1280190,762256,517934,263100,2057463,168857,672291,20577,151841,1684589,1365645,8659,2754,212,507,2141,6522,32570,60900,2941,27263,668232,69838,738070,472616,444260,237243,133811,88498,57114,11896,1445438,1705551,3150989,2054202,660403,353483,2941,580446,61,916,15849,17306,239547,314391,480,13810,44891,63125,Bihar,Katihar,25.56565356037151,87.70466083591326,92.0,42.0,48.0,35.0
213,BIHAR,Madhepura,2001762,1047559,954203,834577,517666,316911,346275,1224216,190809,484062,16347,86328,1753829,241760,1342,170,60,133,81,4387,12302,23236,1397,23309,486278,24000,510278,340813,189431,114474,99437,79891,44955,6509,875510,1202278,2077788,1311771,444235,242382,3374,384905,70,148,6436,6937,153322,218811,283,6388,9086,28868,Bihar,Madhepura,25.77341929460581,86.8978443983403,91.0,42.0,49.0,33.0
214,BIHAR,Saharsa,1900661,997174,903487,804996,506374,298622,317249,1250763,164600,356833,18651,109814,1629254,266620,1292,197,60,109,8,3121,21651,41342,1668,19415,432651,38046,470697,348300,194897,104182,90182,64560,47051,6016,855188,1151349,2006537,1249692,415863,233870,1236,349271,104,299,7281,7992,158574,174742,308,6629,10505,34896,Bihar,Saharsa,25.821270696721303,86.54670819672135,91.0,42.0,51.0,33.0
215,BIHAR,Darbhanga,3937385,2059949,1877436,1816634,1125566,691068,615688,2713745,236673,642115,44846,300006,3042729,881476,3534,832,245,236,101,8232,59510,127442,6280,53205,907174,95539,1002713,672797,490534,332382,224622,152540,129597,26073,2028545,2203198,4231743,2535344,865971,529314,6756,771056,111,860,8972,11188,332426,345511,1245,19499,38607,127849,Bihar,Darbhanga,26.146187719298258,85.97387352472099,91.0,46.0,55.0,37.0
216,BIHAR,Muzaffarpur,4801062,2527497,2273565,2509232,1487117,1022115,751975,3253476,273436,769001,65253,439896,4032773,745546,5149,933,288,382,98,15893,87796,180651,10290,73012,998694,120700,1119394,1092952,743623,419433,299475,194920,138916,14475,2903794,1924438,4828232,3016735,1079189,697108,8030,874936,209,570,11837,14071,414460,446177,1455,44121,27130,87226,Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,90.0,52.0,59.0,45.0
217,BIHAR,Gopalganj,2562012,1267666,1294346,1382998,793905,589093,320064,1833811,208959,338666,26049,154527,2119262,436057,2463,271,167,133,28,3631,31193,69375,3707,33596,515925,38133,554058,540603,470828,291624,223776,123249,79109,7690,1736879,977719,2714598,1642807,546202,370662,2341,399026,70,229,2591,3307,143078,255329,417,16485,786,23320,Bihar,Gopalganj,26.44874364161851,84.34636127167629,102.0,54.0,63.0,46.0
